episode_number_overall,season,episode_number_in_season,Title,Directed by,Written by,original_air_date,english_air_date,rating,votes,description,type,,One Piece Ep.,IMDB Rating
13,1,13,"""A Meeting With Destiny""Transcription: ""Innen Aimamieru"" (Japanese: 因縁あいまみえる)",Neko Okuma,Satoru Nishizono,10/05/2007,31/12/2009,8,489,"Team Kakashi encounter Itachi Uchiha, who had dealt them a bitter defeat in the past. Kakashi warns everyone not to look into Itachi's Sharingan Eyes.",Mixed Canon/Filler,,13,"
                            7.8
                        "
14,1,14,"""Naruto's Growth""Transcription: ""Naruto no Seichō"" (Japanese: ナルトの成長)",Mitsutaka Noshitani,Satoru Nishizono,17/05/2007,31/12/2009,8.3,511,"Guy prepares to use a forbidden secret jutsu. Meanwhile, Naruto falls under Itachi's genjutsu, and all the anti-genjutsu training he underwent with Jiraiya races through Naruto's mind.",Mixed Canon/Filler,,14,"
                            7.7
                        "
15,1,15,"""The Secret Weapon is Called....""Transcription: ""Kakushidama Nazukete"" (Japanese: 隠し玉 名付けて...!)",Hayato Date,Satoru Nishizono,24/05/2007,31/12/2009,8.3,507,"Granny Chiyo and Sakura rescue Naruto from Itachi's genjutsu. Without a moment's delay, Kakashi begins a counterattack.",Mixed Canon/Filler,,15,"
                            7.6
                        "
16,1,16,"""The Secret of Jinchuriki""Transcription: ""Jinchūriki no Himitsu"" (Japanese: 人柱力の秘密)",Hiroshi Kimura,Satoru Nishizono,31/05/2007,06/01/2010,7.5,455,"Chiyo and Kakashi realize that the attack was just a diversion, and that the Akatsuki have already begun the process of extracting the Tailed Beast from Gaara. Granny Chiyo explains to Naruto and Sakura the connection between the Tailed Beast and the JinchÃ»riki...",Mixed Canon/Filler,,16,"
                            7.7
                        "
17,1,17,"""The Death of Gaara!""Transcription: ""Gaara Shisu!"" (Japanese: 我愛羅死す!)",Masaaki Kumagai,Satoru Nishizono,07/06/2007,13/01/2010,7.7,455,"Teams Kakashi and Guy take a short rest. Granny Chiyo watches Naruto dozing off and is reminded of Sasori as a child. The pursuit resumes, and when Chiyo wonders why Naruto puts such effort into rescuing Gaara...",Mixed Canon/Filler,,17,"
                            8.1
                        "
18,1,18,"""Charge Tactic! Button Hook Entry!!""Transcription: ""Totsunyū! Botan Fukku Entorī"" (Japanese: 突入!ボタンフックエントリー)",Eitaro Ano,Satoru Nishizono,21/06/2007,20/01/2010,7.6,459,Teams Kakashi and Guy reach the Akatsuki hideout. They hurry to infiltrate but are thwarted by a five-seal barrier. The only way to break the barrier is to remove all five seals at once.,Mixed Canon/Filler,,18,"
                            7.1
                        "
19,1,19,"""Traps Activate! Team Guy's Enemy""Transcription: ""Torappu Sadō! Gai-han no Teki"" (Japanese: 罠（トラップ）作動!ガイ班の敵)",Atsushi Nigorikawa,Satoru Nishizono,05/07/2007,27/01/2010,7.7,452,"Breaking the five-seal barrier set off a trap, which now has Team Guy battling amazingly accurate copies of themselves. Back at the Akatsuki hideout, Deidara and Sasori struggle to take the Nine-Tail Jinchuuriki.",Mixed Canon/Filler,,19,"
                            8.9
                        "
20,1,20,"""Hiruko vs. Two Kunoichi!""Transcription: ""Hiruko vs. Futari no Kunoichi"" (Japanese: ヒルコVS二人の女忍者（くノいち）)",Kiyomu Fukuda,Satoru Nishizono,19/07/2007,03/02/2010,8,481,"At last, the showdown between the old woman and her grandson begins. Sakura is confused by Sasori's strange appearance, and Granny Chiyo explains that this is Hiruko...",Manga Canon,,20,"
                            7.7
                        "
21,1,21,"""Sasori's Real Face""Transcription: ""Sasori no Sugao"" (Japanese: サソリの素顔)",Neko Okuma,Satoru Nishizono,26/07/2007,10/02/2010,7.9,471,"Granny Chiyo and Sakura manage to expose Sasori, who amazingly looks no older than he did twenty years earlier. Chiyo is even more shocked at the second puppet that Sasori produces.",Manga Canon,,21,"
                            7.8
                        "
22,1,22,"""Chiyo's Secret Skills""Transcription: ""Chiyo no Oku no Te"" (Japanese: チヨの奥の手)",Mitsutaka Noshitani,Satoru Nishizono,02/08/2007,17/02/2010,7.8,463,Sakura is caught by Sasori's tactic and surrounded by a poison cloud. But she uses a Paper Bomb to blow herself free from the poisonous fumes.,Manga Canon,,22,"
                            7.6
                        "
23,1,23,"""Father and Mother""Transcription: """"Chichi"" to ""Haha"""" (Japanese: 「父」と「母」)",Masaki Takano,Satoru Nishizono,02/08/2007,24/02/2010,7.7,461,"The greatest advantage of the puppets created from humans is that one can take over the jutsu that the human used while alive. Hence, the puppet of the Third Kazekage has the special ability to convert chakra into magnetic power. Chiyo and Sakura take cover, and Sasori wastes no time unleashing a ruthless attack. Chiyo fights back to protect Sakura, but in an instant the Father and Mother puppets are sealed by the Iron Sand. As Sasori rushes in for the final blow, Sakura makes a decision.",Manga Canon,,23,"
                            7.8
                        "
24,1,24,"""The Third Kazekage""Transcription: ""Sandaime Kazekage"" (Japanese: 三代目風影)",Hiroshi Kimura,Satoru Nishizono,09/08/2007,24/02/2010,7.9,468,"Sakura and Chiyo continue their battle with Sasori, while Naruto and Kakashi follow Deidara, and Team Guy fights their clones. Sakura remembers her training with Tsunade when she was taught to observe enemies' weaknesses and dodge their attacks. Sasori attacks with an Iron Sand pyramid and prism, but Sakura is able to fend them off, causing a cave in. Sasori then uses a new technique to attack with randomly-growing iron spikes, landing a hit imbued with a poison that quickly paralyzes its victims. With a final attack of the Third Kazekage's puppet, Sasori attempts to ...",Mixed Canon/Filler,,24,"
                            9.1
                        "
25,1,25,"""Three Minutes Between Life and Death""Transcription: ""Sei to Shi no Sanpunkan"" (Japanese: 生と死の三分間)",Masaaki Kumagai,Satoru Nishizono,16/08/2007,03/03/2010,7.8,464,"Sakura reveals that she took an antidote against Sasori's poison which will make her immune to it for three minutes, forcing herself and Chiyo to end the battle quickly. Meanwhile, Naruto and Kakashi continue their pursuit of Deidara. Deidara attempts to split up Naruto and Kakashi by creating a swarm of explosive jumping crickets out of his clay and has them pursue Kakashi. Kakashi makes a shadow clone as a decoy and the crickets, mistaking the shadow clone for the real Kakashi, detonate harmlessly. Kakashi then catches back up with Naruto and reveals a plan. Sakura ...",Mixed Canon/Filler,,25,"
                            7.6
                        "
26,1,26,"""Puppet Fight: 10 vs. 100!""Transcription: ""Jukki vs Hyakki"" (Japanese: 十機vs百機)",Atsushi Nigorikawa,Satoru Nishizono,23/08/2007,10/03/2010,8.7,724,"Naruto and Kakashi continue to pursue Deidara while Sakura and Chiyo continue the battle with Sasori. Sakura manages to shatter Sasori's puppet body, but he reforms. Chiyo summons the Ten Puppets of Chikamatsu. Sasori, remarking on Chiyo's ability to control so many puppets, summons one hundred human puppets and the final battle begins. Sakura and Chiyo seem to trap and defeat Sasori but, under cover of the battle, Sasori, who had transferred himself to another puppet, attacks Chiyo from behind. Sakura intercedes, taking the sword thrust meant for Chiyo.",Manga Canon,,26,"
                            8.8
                        "
27,1,27,"""Impossible Dream""Transcription: ""Kanawanu Yume"" (Japanese: 叶わぬ夢)",Eitaro Ano,Satoru Nishizono,30/08/2007,17/03/2010,8.4,613,"Chiyo injects the last remaining antidote into Sakura and manages to stab Sasori in his only living part, his heart, using the Father and Mother puppets. With Sasori immobilized, Chiyo revives the nearly dead Sakura using her Resurrection Technique. As he dies, Sasori rewards Sakura for defeating him, telling her where he planned to meet with one of his spies who had been working undercover as one of Orochimaru's subordinates. Meanwhile as Kakashi and Naruto are pursuing Deidara, Kakashi reveals his plan to activate his version of Mangekyo Sharingan.",Manga Canon,,27,"
                            7.6
                        "
28,1,28,"""Beasts: Alive Again!""Transcription: ""Yomigaeru Kemono-tachi"" (Japanese: 蘇る獣たち)",Kiyomu Fukuda,Satoru Nishizono,13/09/2007,24/03/2010,7,414,"Team Guy senses the result of the Sakura and Granny Chiyo's desperate struggle while still in battle with his deadly copy. Although Guy's team members are showing fatigue, their copies remain strong!",Filler,,28,"
                            7.7
                        "
29,1,29,"""Kakashi Enlightened!""Transcription: ""Kakashi Kaigan!"" (Japanese: カカシ開眼!)",Yuki Kinoshita,Satoru Nishizono,27/09/2007,31/03/2010,8,454,"Sakura hurries to get to Naruto with Granny Chiyo, who is suffering from the poison. The members of Team Guy rush to assist Team Kakashi.",Manga Canon,,29,"
                            7.9
                        "
30,1,30,"""Aesthetics of an Instant""Transcription: ""Shunkan no Bigaku"" (Japanese: 瞬間の美学)",Shigeharu Takahashi,Satoru Nishizono,27/09/2007,07/04/2010,8.3,500,"Naruto loses all reason to anger and is gradually taken over by the Nine-Tailed Fox Spirit. Having been forewarned by Jiraiya, Kakashi narrowly manages to suppress the Nine-Tailed Fox.",Manga Canon,,30,"
                            8.3
                        "
31,1,31,"""The Legacy""Transcription: ""Tsugareyukumono"" (Japanese: 継がれゆくもの)",Shinji Satou,Satoru Nishizono,18/10/2007,14/04/2010,8.7,747,"Relying on Naruto's power, Granny Chiyo performs the Transmigration Jutsu on Gaara. Sakura is saddened when she realizes the cost of this jutsu.",Manga Canon,,31,"
                            7.7
                        "
32,1,32,"""Return of the Kazekage""Transcription: ""Kazekage no Kikan"" (Japanese: 風影の帰還)",Hiroshi Kimura,Satoru Nishizono,25/10/2007,21/04/2010,7.8,451,"Deidara survives his battle and begins to search for his missing arm. Meanwhile, Zetsu and his subordinate, Tobi, who wishes to join Akatsuki, search Sasori's remains for his ring. Deidara later finds the two searching for his own ring. The leaf ninja leave Sunagakure after their victory, and Danzo gives Sai instructions for his new team, Team Kakashi. The leaf and sand ninja pay their respects at Chiyo's grave, and Gaara and Naruto shake hands before departing.",Manga Canon,,32,"
                            7.8
                        "
33,2,1,"""The New Target""Transcription: ""Aratanaru Tāgetto"" (Japanese: 新たなる目標（ターゲット）)",Masaaki Kumagai,Satoru Nishizono,08/11/2007,28/04/2010,7.6,421,Everyone has returned to the Hidden Leaf Village. Kakashi is hospitalized for a week due to the strain caused by his Mangekyo Sharingan.,Manga Canon,,33,"
                            7.9
                        "
34,2,2,"""Formation! New Team Kakashi!""Transcription: ""Kessei! Shin Kakashi han"" (Japanese: 結成!新カカシ班)",Eitaro Ano,Satoru Nishizono,15/11/2007,05/05/2010,7.2,405,"Naruto, Choji and Shikamaru attempt to capture and interrogate Sai, but Sai withdraws after insulting Naruto. Shortly afterward, Ino appears. Concerned that the demon fox could fall into Akatsuki hands, the village elders challenge Tsunade's plan to send Naruto out of the village without the still bedridden Kakashi. Tsunade promises to protect Konoha with her own life if Naruto is captured, but is still forced to compromise with Danzo by adding Sai to Team Kakashi. She also temporarily replaces Kakashi with ANBU member Yamato and warns him to keep an eye on Sai. ...",Manga Canon,,34,"
                            7.6
                        "
35,2,3,"""An Unnecessary Addition""Transcription: ""Gadatensoku"" (Japanese: 画蛇添足（がだてんそく）)",Masahiko Murata,Satoru Nishizono,22/11/2007,12/05/2010,7.2,408,"Yamato takes temporary leadership of Team Kakashi while Sai insults both Naruto and Sakura. While preparing to set off, Sai receives an envelope from a Root shinobi containing secret orders from Danzo, and Sakura consults with Tsunade. Jiraiya then meets with Tsunade and Yamato in Kakashi's hospital room to brief Yamato on the demon fox within Naruto, detailing the ""demon fox's cloak"", and revealing a scar he got from Naruto when the fourth tail formed. Finally the new Team Kakashi set off on their new mission, to intercept an Akatsuki spy and gather information about...",Manga Canon,,35,"
                            8.1
                        "
36,2,4,"""The Fake Smile""Transcription: ""Itsuwari no egao"" (Japanese: 偽りの笑顔)",Kiyomu Fukuda,Satoru Nishizono,29/11/2007,19/05/2010,7.1,406,"The new Team Kakashi heads for Tenchikyo. To Naruto, Sai is just temporarily filling in for Sasuke. When Sai shows his contempt for Sasuke, the antagonism comes to a head.",Manga Canon,,36,"
                            8.9
                        "
37,2,5,"""Untitled""Transcription: ""Mudai"" (Japanese: 無題)",Atsushi Nigorikawa,Satoru Nishizono,29/11/2007,26/05/2010,7.1,405,"Sakura comes across Sai working on an abstract painting. He tells her that he's unable to give it a title. Bothered by his manner, Sakura finds an unusual picture book among Sai's things.",Manga Canon,,37,"
                            9.1
                        "
38,2,6,"""Simulation""Transcription: ""Shimyurēshon"" (Japanese: 模擬戦闘訓練（シミュレーション）)",Shigeharu Takahashi,Satoru Nishizono,06/12/2007,02/06/2010,7,405,"In preparation for Tenchikyo, Yamato conducts a half-day simulation in order to get a grasp on the fighting skills and jutsu of Team Kakashi. Sai abandons Naruto to conclude the simulated mission successfully.",Manga Canon,,38,"
                            8.3
                        "
39,2,7,"""The Tenchi Bridge""Transcription: ""Tenchikyō"" (Japanese: 天地橋)",Masaki Takano,Satoru Nishizono,13/12/2007,16/06/2010,7.8,429,"The day for capturing the spy is finally here. Just as planned, Yamato takes on Sasori's likeness and waits until the Akatsuki spy appears. The spy turns out to be none other than Kabuto.",Manga Canon,,39,"
                            8.1
                        "
40,2,8,"""The Nine-Tails Unleashed""Transcription: ""Kyūbi kaihō!!"" (Japanese: 九尾解放!!)",Hiroshi Kimura,Satoru Nishizono,20/12/2007,23/06/2010,7.6,449,"Faced with Orochimaru, his sworn enemy, Naruto suddenly releases the power of his Nine-Tailed Fox. When Yamato sees Naruto's fourth tail appear, he recalls Jiraiya's tale of how he nearly lost his life to the transformed Naruto. Yamato has been ordered to suppress the Nine-Tail chakra that would adversely affect Naruto's body. Then, the secret of Yamato's Wood-Style ninjutsu becomes apparent.",Manga Canon,,40,"
                            8.1
                        "
41,2,9,"""The Top-Secret Mission Begins""Transcription: ""Gokuhi ninmu sutāto"" (Japanese: 極秘任務スタート)",Masaaki Kumagai,Satoru Nishizono,20/12/2007,30/06/2010,7.9,450,"When his third tail appears, all that Naruto can see is Orochimaru. He is blind even to his teammates.",Manga Canon,,41,"
                            8.1
                        "
42,2,10,"""Orochimaru vs. Jinchuriki""Transcription: ""Orochimaru tai Jinchūriki"" (Japanese: 大蛇丸VS人柱力)",Masahiko Murata,Satoru Nishizono,10/01/2008,07/07/2010,8.4,541,"With the release of his fourth tail, Naruto completely loses his awareness and is overtaken by destructive impulses.",Manga Canon,,42,"
                            8.1
                        "
43,2,11,"""Sakura's Tears""Transcription: ""Sakura no namida"" (Japanese: サクラの涙)",Kunitoshi Okajima,Satoru Nishizono,17/01/2008,14/07/2010,7.8,425,"Although he has changed almost completely into his animal form and has lost all awareness, Naruto refuses to give up the idea of bringing Sasuke home.",Manga Canon,,43,"
                            8.8
                        "
44,2,12,"""The Secret of the Battle!""Transcription: ""Tatakai no tenmatsu"" (Japanese: 戦いの顛末)",Kiyomu Fukuda,Satoru Nishizono,24/01/2008,21/07/2010,7.3,400,"Taking advantage of the confusion, Sai makes contact with Orochimaru. After reviewing the contents of the documents given to him, Orochimaru decides to take Sai back to the hideout.",Manga Canon,,44,"
                            7.9
                        "
45,2,13,"""The Consequences of Betrayal""Transcription: ""Uragiri no hate"" (Japanese: 裏切りの果て)",Atsushi Nigorikawa,Satoru Nishizono,31/01/2008,28/07/2010,7.2,392,Naruto and Sakura are shocked when they hear that Danzo's goal is to work with Orochimaru to once again attempt to defeat the Leaf Village.,Mixed Canon/Filler,,45,"
                            7.8
                        "
46,2,14,"""The Unfinished Page""Transcription: ""Mikan no Pēji"" (Japanese: 未完の頁（ページ）)",Shigeharu Takahashi,Satoru Nishizono,07/02/2008,04/08/2010,7.2,393,Naruto is shocked to learn that he was the one responsible for the destruction around them and for Sakura's injuries.,Manga Canon,,46,"
                            6.4
                        "
47,2,15,"""Infiltration: The Den of the Snake!""Transcription: ""Sennyū! Dokuhebi no ajito"" (Japanese: 潜入!毒蛇の巣窟（アジト）)",Neko Okuma,Satoru Nishizono,14/02/2008,11/08/2010,7.3,392,"Sai shudders when he finally meets Sasuke face to face in Orochimaru's hideout. The list that Sai gave to Orochimaru lists the members of the Anbu Black Ops, the corps under the direct control of the Hokage.",Manga Canon,,47,"
                            6.3
                        "
48,2,16,"""Bonds""Transcription: ""Tsunagari"" (Japanese: つながり)",Hiroshi Kimura,Satoru Nishizono,28/02/2008,18/08/2010,7.1,398,"Team Kakashi is able to find Sai with Yamato guiding them. They immediately begin questioning Sai about Danzo's plans for destroying the Leaf Village, and surprisingly, Sai divulges everything.",Manga Canon,,48,"
                            7.9
                        "
49,2,17,"""Something Important...""Transcription: ""Taisetsu na mono"" (Japanese: 大切なモノ)",Shinji Satou,Satoru Nishizono,06/03/2008,25/08/2010,7.4,404,"Kabuto carries out a surprise attack on Team Kakashi to take back Sai, but a change has come over Sai since Sakura pointed out his contradictions.",Mixed Canon/Filler,,49,"
                            8
                        "
50,2,18,"""The Picture Book's Story""Transcription: ""Ehon ga kataru Sutōri"" (Japanese: 絵本が語る物語（ストーリー）)",Eitaro Ano,Satoru Nishizono,13/03/2008,01/09/2010,7.3,386,"Naruto, while nursing his injuries caused by the release of the Nine-Tailed Fox, searches frantically for Sasuke. Seeing this, Sai recalls the feelings he once had for his older brother and finally manages to complete his unfinished picture.",Mixed Canon/Filler,,50,"
                            7.5
                        "
51,2,19,"""Reunion""Transcription: ""Saikai"" (Japanese: 再会)",Masaaki Kumagai,Satoru Nishizono,20/03/2008,08/09/2010,7.5,407,"Team Kakashi are stunned to learn that Sai's true mission is to kill Sasuke. Naruto wants to believe that the smile Sai showed them was real, but there is a possibility that it was all an act.",Manga Canon,,51,"
                            7
                        "
52,2,20,"""The Power of Uchiha""Transcription: ""Uchiha no chikara"" (Japanese: うちはの力)",Kiyomu Fukuda,Satoru Nishizono,20/03/2008,15/09/2010,7.9,445,"Team Kakashi finally have their wish to be reunited with Sasuke granted. Although it has been three long years, Sasuke's feelings have not changed. His ultimate goal is to get revenge against his older brother, Itachi.",Manga Canon,,52,"
                            8.3
                        "
53,2,21,"""Title""Transcription: ""Taitoru"" (Japanese: 題名（タイトル）)",Atsushi Nigorikawa,Satoru Nishizono,03/04/2008,27/10/2010,7.4,410,"Sasuke's desire for revenge remains firm, no matter how hard Naruto tries to talk him out of it. Yamato tries to take Sasuke by force, but interference by Orochimaru brings things to a quick close.",Manga Canon,,53,"
                            8.6
                        "
54,3,1,"""Nightmare""Transcription: ""Akumu"" (Japanese: 悪夢)",Shigeharu Takahashi,Yasuyuki Suzuki,03/04/2008,03/11/2010,7.4,404,"Naruto's been having nightmares about a mysterious person releasing the Nine-Tail's power. After remembering their recent encounter with Sasuke, Naruto realizes that he must get stronger. Meanwhile, Sai tries to adapt to everyday life with Naruto and Sakura. When the group goes to visit Kakashi to discuss the situation, Kakashi lets Naruto know that he has special training for him that will make him stronger, fast. They are joined by Team 10, who have also come to visit.",Mixed Canon/Filler,,54,"
                            7.2
                        "
55,3,2,"""Wind""Transcription: ""Kaze"" (Japanese: 旋風（かぜ）)",Masahiko Murata,Yasuyuki Suzuki,17/04/2008,10/11/2010,7.8,406,"Naruto begins to train with Kakashi. Kakashi finds it exhausting working with Naruto, who can't understand anything explained to him.",Manga Canon,,55,"
                            6.9
                        "
56,3,3,"""Squirm""Transcription: ""Ugomeku"" (Japanese: うごめく)",Hiroshi Kimura,Yasuyuki Suzuki,24/04/2008,17/11/2010,7.4,387,"Learning that his chakra is of the ""wind"" type that is outstanding for fighting, Naruto puts more effort into his training.",Mixed Canon/Filler,,56,"
                            6.8
                        "
57,3,4,"""Deprived of Eternal Sleep""Transcription: ""Ubawareta nemuri"" (Japanese: 奪われた永眠り)",Masaki Takano,Yasuyuki Suzuki,08/05/2008,01/12/2010,6.8,304,"Team Kakashi is ordered to resolve the frequent vandalizing of graves at the Fire Temple. When it becomes clear that the vandals aren't after the possessions buried with the dead, Yamato suspects that they want the corpses of the ninja buried in the four hidden tombs near Fire Temple.",Filler,,57,"
                            6.7
                        "
58,3,5,"""Loneliness""Transcription: ""Kodoku"" (Japanese: 孤独)",Eitaro Ano,Yasuyuki Suzuki,08/05/2008,08/12/2010,6.5,303,"At the Fire Temple, Chiriku explains to Team Kakashi that the hidden tombs hold the guards of the Land of Fire's feudal lord. At one time Chiriku and Asuma were members of that organization. Team Kakashi learn about a terrible incident caused by the Twelve Ninja Guardians. Meanwhile, as Naruto watches the young monks training, he notices a strain in the relations between Sora and the other monks.",Filler,,58,"
                            6.8
                        "
59,3,6,"""A New Enemy""Transcription: ""Aratana teki"" (Japanese: 新たな敵)",Masaaki Kumagai,Junki Takegami,15/05/2008,15/12/2010,6.4,297,"Word comes that the last of the hidden graves has been broken into. Naruto and the others go after the coffin, but it turns out to be a trap.",Filler,,59,"
                            7.2
                        "
60,3,7,"""Impermanence""Transcription: ""Uitenpen"" (Japanese: 有為転変)",Kiyomu Fukuda,Junki Takegami,22/05/2008,22/12/2010,6.6,292,Know what this is about? Be the first one to add a plot.,Filler,,60,"
                            7.3
                        "
61,3,8,"""Contact""Transcription: ""Sesshoku"" (Japanese: 接触)",Atsushi Nigorikawa,Yasuyuki Suzuki,29/05/2008,29/12/2010,6.7,298,"Sora confronts Furido, the mysterious figure who has broken into the hidden graves. Impressed by Sora's unusual strength, he admonishes him, ""You should reevaluate how you use that power Heaven has blessed you with,"" and disappears, leaving him with a cryptic message that he is an old friend of his father.",Filler,,61,"
                            7.7
                        "
62,3,9,"""Teammate""Transcription: ""Chīmumeito"" (Japanese: チームメイト)",Shigeharu Takahashi,Yasuyuki Suzuki,05/06/2008,05/01/2011,6.5,296,Yamato believes that the assailants were not grave robbers but were after Sora. He decides to appoint Sora to Team Kakashi as a temporary stand-in for the injured Sai.,Filler,,62,"
                            7.8
                        "
63,3,10,"""The Two Kings""Transcription: ""Futatsu no gyoku"" (Japanese: 二つの玉（ぎょく）)",Yuki Kinoshita,Masahiro Hikokubo,19/06/2008,12/01/2011,6.6,292,"Asuma supervises Naruto and Sora's wind chakra training, and notices that Sora, like Naruto, has very powerful chakra. Tsunade and Yamato learn from Chiriku that Sora was inadvertently responsible for an incident in which the Temple of Fire was destroyed. Later, Asuma gives Sora a claw made from the same materials as his chakra blades. It is revealed that Asuma killed Sora's father Kazuma, who had planned to kill the Hokage. Furido then approaches Sora, telling him that Asuma is responsible for his father's death and passing him two ""king"" pieces from a Shogi set for ...",Filler,,63,"
                            7.6
                        "
64,3,11,"""Jet Black Signal Fire""Transcription: ""Shikkoku no noroshi"" (Japanese: 漆黒の狼煙)",Hiroshi Kimura,Yasuyuki Suzuki,03/07/2008,19/01/2011,6.6,288,"Danzou is brought in for questioning after being caught meeting with a young Rain ninja. Sora confronts Asuma, and Asuma admits to having killed Kazuma. He attacks Asuma, his arm once again assuming a demonic form. Afterward, Naruto gets injured while shielding Sora from the attacks of an unknown individual, presumably from Root. Furido then approaches Sora, telling him to kill both Asuma and the Hokage to avenge his father. Later on, Naruto catches Sora going after Tsunade. Sora retreats as Shizune and a few other ninja arrive, but Naruto pursues him. At that moment,...",Filler,,64,"
                            7.7
                        "
